CODE_VALUE;NAME_VALUE;CODE;STARTED;REVOKED;autokey
LIM_11_M_73;Услуги рекламные и услуги по исследованию конъюнктуры рынка;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_M_73
LIM_02_09;Возмездное оказание услуг;LIM_02;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_02_09
LIM_11_J_58;Услуги издательские;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_J_58
LIM_05_752;Шведская крона;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_752
LIM_10_99;Иные территории, включая город и космодром Байконур;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_99
LIM_05_784;Дирхам ОАЭ;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_784
LIM_05_398;Тенге;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_398
LIM_05_388;Ямайский доллар;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_388
LIM_05_048;Бахрейнский динар;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_048
LIM_05_426;Лоти;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_426
LIM_11_A_01;Услуги сельского хозяйства и охоты;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_A_01
LIM_05_446;Патака;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_446
LIM_13_C_10;Продукты пищевые;LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_C_10
LIM_13_E_39;Услуги по рекультивации и прочие услуги по утилизации отходов;LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_E_39
LIM_05_012;Алжирский динар;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_012
LIM_13_A_03;Рыба и прочая продукция рыболовства и рыбоводства;LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_A_03
LIM_02_12;Заем, кредит;LIM_02;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_02_12
LIM_10_77;г. Москва;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_77
LIM_10_01;Республика Адыгея (Адыгея);LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_01
LIM_10_30;Астраханская область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_30
LIM_11_M_75;Услуги ветеринарные;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_M_75
LIM_05_132;Эскудо Кабо-Верде;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_132
LIM_13_C_16;"Древесина и изделия из дерева и пробки, кроме мебели; изделия из соломки и материалов для плетения";LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_C_16
LIM_10_32;Брянская область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_32
LIM_11_H_52;Услуги по складированию и вспомогательные транспортные услуги;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_H_52
LIM_11_H;УСЛУГИ ТРАНСПОРТА И СКЛАДСКОГО ХОЗЯЙСТВА;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_H
LIM_10_58;Пензенская область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_58
LIM_10_19;Республика Хакасия;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_19
LIM_10_39;Калининградская область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_39
LIM_05_036;Австралийский доллар;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_036
LIM_11_P_85;Услуги в области образования;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_P_85
LIM_11_T;ТОВАРЫ И УСЛУГИ РАЗЛИЧНЫЕ, ПРОИЗВОДИМЫЕ ДОМАШНИМИ ХОЗЯЙСТВАМИ ДЛЯ СОБСТВЕННОГО ПОТРЕБЛЕНИЯ, ВКЛЮЧАЯ УСЛУГИ РАБОТОДАТЕЛЯ ДЛЯ ДОМАШНЕГО ПЕРСОНАЛА;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_T
LIM_13_E_36;Вода природная;LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_E_36
LIM_05_364;Иранский риал;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_364
LIM_05_392;Иена;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_392
LIM_11_J_60;Услуги в области теле- и радиовещания;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_J_60
LIM_10_87;Чукотский автономный округ;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_87
LIM_02_04;Рента и пожизненное содержание с иждивением;LIM_02;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_02_04
LIM_12_E_39;Работы по утилизации отходов;LIM_12;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_12_E_39
LIM_05_008;Лек;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_008
LIM_02_29;Прекращение обязательств;LIM_02;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_02_29
LIM_05_408;Северокорейская вона;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_408
LIM_13_C_14;Одежда;LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_C_14
LIM_05_068;Боливиано;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_068
LIM_05_780;Доллар Тринидада и Тобаго;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_780
LIM_10_72;Тюменская область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_72
LIM_11_K;УСЛУГИ ФИНАНСОВЫЕ И СТРАХОВЫЕ;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_K
LIM_13_C_15;Кожа и изделия из кожи;LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_C_15
LIM_10_28;Амурская область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_28
LIM_10_65;Сахалинская область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_65
LIM_01_04;Товарная накладная по форме ТОРГ-12;LIM_01;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_01_04
LIM_10_55;Омская область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_55
LIM_10_27;Хабаровский край;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_27
LIM_01_20;Технические акты (акты осмотра, акты оценки);LIM_01;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_01_20
LIM_05_242;Доллар Фиджи;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_242
LIM_02_10;Перевозка;LIM_02;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_02_10
LIM_05_214;Доминиканское песо;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_214
LIM_05_417;Сом;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_417
LIM_05_978;Евро;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_978
LIM_11_J_62;"Продукты программные и услуги по разработке программного обеспечения; консультационные и аналогичные услуги в области информационных технологий";LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_J_62
LIM_05_960;СДР (специальные права заимствования);LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_960
LIM_13_C;ПРОДУКЦИЯ ОБРАБАТЫВАЮЩИХ ПРОИЗВОДСТВ;LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_C
LIM_10_74;Челябинская область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_74
LIM_11_A_03;Услуги, связанные с рыболовством и рыбоводством;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_A_03
LIM_02_18;"Условное депонирования (эскроу)
";LIM_02;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_02_18
LIM_02_20;Поручение. Комиссия. Агентирование;LIM_02;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_02_20
LIM_05_144;Шри-ланкийская рупия;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_144
LIM_05_946;Румынский лей;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_946
LIM_05_484;Мексиканское песо;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_484
LIM_10_71;Тульская область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_71
LIM_05_967;Замбийская квача;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_967
LIM_10_59;Пермский край;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_59
LIM_05_748;Лилангени;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_748
LIM_05_690;Сейшельская рупия;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_690
LIM_02_31;Отчуждение исключительного права на РИД и средства индивидуализации;LIM_02;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_02_31
LIM_10_79;Еврейская автономная область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_79
LIM_10_66;Свердловская область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_66
LIM_05_858;Уругвайское песо;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_858
LIM_11_M_69;Услуги юридические и бухгалтерские;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_M_69
LIM_11_E_38;"Услуги по сбору, обработке и удалению отходов; услуги по утилизации отходов";LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_E_38
LIM_13_C_17;Бумага и изделия из бумаги;LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_C_17
LIM_13_C_13;Текстиль и изделия текстильные;LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_C_13
LIM_10_15;Республика Северная Осетия — Алания;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_15
LIM_05_953;Франк КФП;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_953
LIM_11_Q_88;Услуги социальные без обеспечения проживания;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_Q_88
LIM_10_09;Карачаево-Черкесская Республика;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_09
LIM_13_B_05;Уголь;LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_B_05
LIM_05_600;Гуарани;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_600
LIM_05_496;Тугрик;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_496
LIM_01_01;Универсальный передаточный документ;LIM_01;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_01_01
LIM_05_090;Доллар Соломоновых Островов;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_090
LIM_12_H_49;Работы по регулярным перевозкам сухопутным транспортом;LIM_12;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_12_H_49
LIM_11_G;"УСЛУГИ ПО ОПТОВОЙ И РОЗНИЧНОЙ ТОРГОВЛЕ; УСЛУГИ ПО РЕМОНТУ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ";LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_G
LIM_11_B_09;Услуги в области добычи полезных ископаемых;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_B_09
LIM_05_332;Гурд;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_332
LIM_01_19;Расшифровка;LIM_01;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_01_19
LIM_05_840;Доллар США;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_840
LIM_05_985;Злотый;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_985
LIM_05_044;Багамский доллар;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_044
LIM_11_R_90;Услуги в области творчества, искусства и развлечений;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_R_90
LIM_10_14;Республика Саха (Якутия);LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_14
LIM_05_694;Леоне;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_694
LIM_11_G_46;Услуги по оптовой торговле, кроме оптовой торговли автотранспортными средствами и мотоциклами;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_G_46
LIM_13_C_31;Мебель;LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_C_31
LIM_01_03;Акт приемки-сдачи работ или услуг;LIM_01;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_01_03
LIM_05_116;Риель;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_116
LIM_11_P;УСЛУГИ В ОБЛАСТИ ОБРАЗОВАНИЯ;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_P
LIM_11_O_84;Услуги в области государственного управления и обеспечения военной безопасности, услуги в области обязательного социального обеспечения;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_O_84
LIM_11_D;УСЛУГИ ПО ЭЛЕКТРОЭНЕРГИИ, ГАЗУ, ПАРУ И КОНДИЦИОНИРОВАНИЮ ВОЗДУХА;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_D
LIM_11_I_55;Услуги по предоставлению мест для временного проживания;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_I_55
LIM_10_51;Мурманская область;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_51
LIM_10_10;Республика Карелия;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_10
LIM_05_950;Франк КФА ВЕАС;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_950
LIM_05_348;Форинт;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_348
LIM_02_19;Страхование ;LIM_02;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_02_19
LIM_05_532;Нидерландский антильский гульден;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_532
LIM_02_13;Финансирование под уступку денежного требования (факторинг);LIM_02;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_02_13
LIM_11_J_59;Услуги по производству кинофильмов, видеофильмов и телевизионных программ, звукозаписей и изданию музыкальных записей;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_J_59
LIM_10_17;Республика Тыва;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_17
LIM_11_J_63;Услуги в области информационных технологий;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_J_63
LIM_05_970;Единица реальной стоимости;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_970
LIM_05_238;Фунт Фолклендских островов;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_238
LIM_05_512;Оманский риал;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_512
LIM_10_12;Республика Марий Эл;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_12
LIM_13_F_42;Сооружения;LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_F_42
LIM_05_976;Конголезский франк;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_976
LIM_10_75;Забайкальский край;LIM_10;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_10_75
LIM_05_886;Йеменский риал;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_886
LIM_11_J_61;Услуги телекоммуникационные;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_J_61
LIM_05_933;Белорусский рубль;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_933
LIM_11_A;УСЛУГИ СЕЛЬСКОГО, ЛЕСНОГО И РЫБНОГО ХОЗЯЙСТВА;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_A
LIM_12_F;СТРОИТЕЛЬНЫЕ РАБОТЫ;LIM_12;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_12_F
LIM_05_410;Вона;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_410
LIM_13_B_06;Нефть и газ природный;LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_B_06
LIM_04_02;Сумма без НДС;LIM_04;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_04_02
LIM_02_02;Мена, бартер;LIM_02;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_02_02
LIM_01_14;Расходный ордер на заправку воздушных судов;LIM_01;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_01_14
LIM_05_756;Швейцарский франк;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_756
LIM_11_E_37;"Услуги по водоотведению; шлам сточных вод";LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_E_37
LIM_13_E;"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ";LIM_13;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_13_E
LIM_11_N_80;Услуги по обеспечению безопасности и проведению расследований;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_N_80
LIM_05_901;Новый тайваньский доллар;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_901
LIM_12_M_72;Работы, связанные с научными исследованиями и экспериментальными разработками;LIM_12;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_12_M_72
LIM_05_860;Узбекский сум;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_860
LIM_01_12;Акт по форме КС-2;LIM_01;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_01_12
LIM_05_376;Новый израильский шекель;LIM_05;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_05_376
LIM_11_K_64;Услуги финансовые, кроме услуг по страхованию и пенсионному обеспечению;LIM_11;15.08.2023;;POWER_PWR_RESTR_VALUE_LIM_11_K_64
